prefix,family,rows,yes_no,numeric,text,math_expression,needs_geometry_relation,needs_vector_composition,needs_circuit_relation,needs_measurement_error,ok,wrong,unsupported,validator_failed,executor_failed
CH,ac_rlc,196,0,195,0,1,24,19,196,20,41,0,155,0,0
CH,capacitor,35,0,35,0,0,0,0,35,0,4,0,31,0,0
CH,energy_power,10,0,10,0,0,4,0,10,2,0,0,10,0,0
CH,magnetic_induction,7,0,7,0,0,5,0,7,0,0,0,7,0,0
CH,measurement,14,0,14,0,0,5,12,14,0,11,0,3,0,0
CH,rlc_resonance_yes_no,1,0,1,0,0,0,0,1,1,0,0,1,0,0
CH,unknown,27,0,27,0,0,1,1,26,0,1,0,26,0,0
CHLT,ac_rlc,3,3,0,0,0,0,0,3,0,0,0,3,0,0
CHLT,capacitor,3,3,0,0,0,0,0,3,0,0,0,3,0,0
CHLT,rlc_resonance_yes_no,14,14,0,0,0,0,0,14,0,14,0,0,0,0
DDT,ac_rlc,27,0,25,2,0,11,1,27,1,12,0,15,0,0
DDT,capacitor,6,0,6,0,0,4,5,6,2,2,0,4,0,0
DDT,electrostatics_field,2,0,0,1,1,2,2,2,0,0,0,2,0,0
DDT,energy_power,4,0,3,0,1,1,2,4,0,0,0,4,0,0
DDT,magnetic_induction,78,1,59,18,0,8,60,35,5,8,0,70,0,0
DDT,measurement,1,0,1,0,0,0,0,0,0,0,0,1,0,0
DDT,rlc_resonance_yes_no,1,0,0,1,0,1,1,1,0,0,0,1,0,0
DDT,unknown,11,0,5,4,2,5,4,7,4,0,0,11,0,0
DT,ac_rlc,1,0,0,0,1,1,1,1,1,0,0,1,0,0
DT,electrostatics_field,66,0,57,8,1,62,66,61,5,3,5,51,7,0
DT,electrostatics_force,1,0,1,0,0,1,1,1,0,0,0,1,0,0
LD,electrostatics_field,149,0,144,3,2,149,149,148,1,9,12,80,48,0
LD,electrostatics_force,247,0,244,1,2,242,246,246,13,70,7,170,0,0
NL,capacitor,101,0,88,13,0,11,70,101,2,34,0,67,0,0
NL,electrostatics_field,12,0,8,3,1,1,12,6,2,0,0,12,0,0
NL,energy_power,28,0,17,9,2,5,28,13,3,5,0,23,0,0
NL,magnetic_induction,48,0,46,1,1,0,46,12,0,17,0,31,0,0
NL,measurement,1,0,1,0,0,0,1,0,0,0,0,1,0,0
TD,capacitor,178,0,174,4,0,39,44,178,2,121,1,56,0,0
THCB,energy_power,5,0,0,4,1,0,0,3,0,1,0,4,0,0
THCB,measurement,58,0,58,0,0,0,0,8,58,32,0,26,0,0
THCB,unknown,17,0,2,15,0,0,0,14,2,1,0,16,0,0
